unique_id,asin,product_name,product_type,helpful,rating,title,date,reviewer,reviewer_location,review_text
"B00005UKBG:bad:j._brodeur_""disgusted_consumer""",B00005UKBG,"Atlantic 1316 CD Storage Case (110-Capacity, Wave): Electronics",electronics,15 of 16,2.0,bad,"May 4, 2005","J. Brodeur ""disgusted consumer""",,"cons
tips extremely easy on carpet and if you have a lot of cds stacked at the top

poorly designed, it is a vertical cd rack that doesnt have individual slots for cds, so if you want a cd from the bottom of a stack you have basically pull the whole stack to get to it

putting it together was a pain, the one i bought i had to break a piece of metal just to fit it in its guide holes.

again..poorly designed... doesnt even fit cds that well, there are gaps, and the cd casses are loose fitting

pros
..........
i guess it can hold a lot of cds...."
B00005UKBG:save_your_money!:heidi_myers,B00005UKBG,"Atlantic 1316 CD Storage Case (110-Capacity, Wave): Electronics",electronics,4 of 4,1.0,Save your money!,"March 18, 2004",Heidi Myers,"Tampa, FL","It's a nice look, but it tips over very easily. It is not steady on a rug surface dispite what the picture on the box shows. My advice is if you need a CD rack that holds a lot of CD's? Save your money and invest in something nicer and more sturdy"
B0009O5MWI:horrible_dvd_player:m._martinez,B0009O5MWI,Philips HTS3400D/37 Home Theater System with DVD Player: Electronics,electronics,1 of 1,1.0,Horrible DVD player,"June 23, 2006",M. Martinez,,"I have bought and returned three of these units now. Each one has been defective, and finally I just gave up on returning the system. The DVD player constantly gives ""Bad Disc"" errors and skips if there is even the slightest smudge on a disc. The sound quality is very nice for the price, but since the player doesn't work, it's essentially useless. This is a complete rip-off at any price point"
"B000067VBM:cases_break_instantly!:f._mcpartland_""fmcp""",B000067VBM,50-pack Slim CD/DVD Jewel Cases (5mm) Clear: Electronics,electronics,12 of 13,1.0,Cases break instantly!,"October 30, 2005","F. MCPARTLAND ""FMCP""",Virginia,"I knew these were inexpensive CD cases, but I can't even open one without it breaking into two pieces.."
B000093IRC:these_dvd-rs_suck:suzette_truesdell,B000093IRC,Memorex 4.7GB 4x DVD+R Media (25-Pack Spindle): Electronics,electronics,2 of 2,2.0,These DVD-Rs suck,"February 11, 2006",Suzette Truesdell,"Key Largo, FL","I used a 25 pack of these doing DVD backups, and the last 5 or so failed. I thought it was my software, so I got new software. Guess what? My first disc out of the new package of 25 that I bought failed, too.  It's not my burner (as another reviewer suggested, implying that people should learn to read), as it's brand new and doesn't require the firmware upgrade they mention. They just suck and have a high failure rate.  So the consensus seems to be that TDK or Sony are best. I'm buying some now and save myself the frustration"
"B000093IRC:waste_of_money:c._ambrow_""renegade""",B000093IRC,Memorex 4.7GB 4x DVD+R Media (25-Pack Spindle): Electronics,electronics,1 of 1,1.0,Waste Of Money,"January 21, 2006","C. Ambrow ""Renegade""",Tennessee,"I bought these discs at CompUSA because I needed a few before I got the ones I ordered online. Well, I just wated a good 25 bucks because out of 5 discs, I got one that burned good. Not much bang for the buck. I have burned many discs but never Memorex, usually Verbatim or Ridata or MAM. Very disgruntled with these discs making coasters. Maybe my burners don't like them but whatever the case, I won't buy them ever again. I thought Memorex made good products"
"B000093IRC:good_when_it_works:stefanie_clay_""stef1223""",B000093IRC,Memorex 4.7GB 4x DVD+R Media (25-Pack Spindle): Electronics,electronics,1 of 1,2.0,good when it works,"November 3, 2005","Stefanie Clay ""stef1223""","Morristown, NJ","The DVDs I burned successfully showed the movies in excellent quality. The only problem is that for every 3 good burns I get one bad one. I'm using the Plextor DVD burner (love it!!), but I'm going to try my luck with a different DVD brand. The failure rate for Memorex is unacceptable. It's less the cost that bothers me, but more the time wasted on burning coasters"
B000093IRC:is_it_live_or_is_it_memorex?:k._fournier,B000093IRC,Memorex 4.7GB 4x DVD+R Media (25-Pack Spindle): Electronics,electronics,2 of 2,1.0,is it live or is it memorex?,"January 16, 2005",K. Fournier,Sitka AK,"I hope it's live because if it's memorex, it's crap!  that's my latest opinion after using this product.  I have a LiteOn SOHW-802S and it hates Memorex.  I rarely get a decent burn.  More often than not I'll discover while watching my movies just how horrid the quality it.  My movies will skip, stutter, or stop all together.  So disappointing!  Unfortunately I found out too late that Memorex uses CMC media, which only has a 0-50% success rate!  [..."
"B00008RW8B:dead_on_arrival...:william_b._zimmerly_""a_nobody""",B00008RW8B,Lexar Media USB 2.0 6-in-1 High Speed Reader: Electronics,electronics,4 of 4,1.0,Dead On Arrival...,"April 28, 2006","William B. Zimmerly ""A Nobody""","St. Louis, Missouri, USA","While I read the reviews on this machine, it is clear to me that Lexar has some serious quality-control problems. For some people it worked, for others it was a miserable failure. I am in the latter group. Sigh.

Mine was dead on arrival. I tried the device with *BOTH* of my Windows-XP machines and in both cases, it was unrecognized. Lexar tech support subsequently proved to be a contradiction in terms as they would not return my email requests for help"
"B0007P4G76:beware,_re-_bate_not_honored!:roving_reviewer",B0007P4G76,Xtreme TB264DKO 264-Disc CD/DVD Case: Electronics,electronics,,1.0,"beware, re- bate not honored!","July 24, 2006",Roving Reviewer,i kept copies,i knew the cash back offer sounded too good to be true...and sure enough they rejected my upcs (i kept copies) only have hounding them and contacting the better business bureau did they say 'whoops a mistake' i have a fleeting suspicion this was intentional
